Inside 20,Inside 20.1,Inside 20.2,Inside 20.3,Inside 10,Inside 10.1,Inside 10.2,Inside 10.3,Inside 5,Inside 5.1,Inside 5.2,Inside 5.3
Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
2,-7,0,3.0%,1,0,0,2.8%,1,0,0,5.9%
2,2,1,3.4%,1,1,1,2.9%,1,1,1,5.0%
2,5,1,2.3%,2,5,1,3.8%,1,0,0,5.0%
2,5,1,2.4%,1,2,1,2.5%,1,2,1,4.0%
2,1,1,1.5%,2,1,1,3.0%,2,1,1,5.7%
2,4,1,3.7%,2,4,1,7.7%,2,4,1,16.7%
2,3,0,5.6%,0,0,0,.0%,0,0,0,.0%
2,17,0,3.6%,1,6,0,3.0%,0,0,0,.0%
2,9,0,2.9%,0,0,0,.0%,0,0,0,.0%
2,11,0,2.4%,1,4,0,2.6%,0,0,0,.0%
2,14,0,4.2%,1,8,0,3.1%,0,0,0,.0%
2,-2,0,2.4%,0,0,0,.0%,0,0,0,.0%
2,-3,0,2.9%,2,-3,0,5.1%,0,0,0,.0%
1,7,1,1.5%,1,7,1,2.8%,0,0,0,.0%
1,0,0,1.2%,1,0,0,2.3%,0,0,0,.0%
1,7,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,-3,0,1.9%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.4%,0,0,0,.0%,0,0,0,.0%
1,-1,0,1.4%,1,-1,0,2.2%,0,0,0,.0%
1,4,0,1.2%,0,0,0,.0%,0,0,0,.0%
1,17,0,1.8%,0,0,0,.0%,0,0,0,.0%
1,6,1,1.2%,1,6,1,2.6%,0,0,0,.0%
1,12,0,1.0%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,4,0,.9%,1,4,0,1.7%,0,0,0,.0%
1,2,1,1.5%,1,2,1,2.8%,1,2,1,5.9%
1,0,0,1.5%,1,0,0,3.4%,0,0,0,.0%
1,-1,0,1.2%,0,0,0,.0%,0,0,0,.0%
1,1,0,1.2%,1,1,0,2.5%,1,1,0,4.0%
1,1,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.9%,0,0,0,.0%,0,0,0,.0%
1,10,0,1.7%,0,0,0,.0%,0,0,0,.0%
1,2,1,1.4%,1,2,1,3.4%,1,2,1,5.9%
1,14,0,1.1%,0,0,0,.0%,0,0,0,.0%
1,6,0,1.3%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.6%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.5%,1,0,0,2.4%,0,0,0,.0%
1,-2,0,1.8%,1,-2,0,3.0%,0,0,0,.0%
1,-2,0,1.1%,1,-2,0,1.9%,0,0,0,.0%
1,4,0,1.0%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.7%,1,3,0,2.9%,0,0,0,.0%
1,10,1,1.7%,1,10,1,4.0%,0,0,0,.0%
