Player,Position,Team,Age,Model_Rank,Expert_Rank,Rank_Difference,Model_Points,Expert_Points,Points_Difference,Edge_Category,ADP,Expert_Tier,Expert_Pos_Rank,Pos_Rank_Difference
DeAndre Hopkins,WR,2TM,32.0,125,219.0,94.0,149.2,65.5,83.7,Strong Buy,167.9,16.0,78.0,
Deebo Samuel,WR,SFO,28.0,126,81.0,-45.0,147.4,130.8,16.6,Fade,79.9,8.0,30.0,
Demario Douglas,WR,NWE,24.0,127,186.0,59.0,147.2,80.0,67.2,Strong Buy,179.5,14.0,67.0,
Tyler Allgeier,RB,ATL,24.0,128,152.0,24.0,147.2,86.4,60.8,Buy,158.1,14.0,47.0,
Tucker Kraft,TE,GNB,24.0,129,84.0,-45.0,147.0,90.5,56.5,Fade,115.2,6.0,10.0,
Cade Otton,TE,TAM,25.0,130,115.0,-15.0,145.1,76.6,68.5,Slight Fade,162.0,8.0,21.0,
Jalen Tolbert,WR,DAL,25.0,131,232.0,101.0,144.2,61.4,82.8,Strong Buy,188.4,16.0,84.0,
Travis Etienne,RB,JAX,25.0,132,111.0,-21.0,144.1,108.1,36.0,Fade,95.1,13.0,40.0,
Tank Dell,WR,HOU,25.0,133,426.0,293.0,142.3,20.1,122.2,Strong Buy,138.9,21.0,144.0,
Stefon Diggs,WR,HOU,31.0,134,121.0,-13.0,140.2,111.8,28.4,Slight Fade,103.7,10.0,47.0,
Isaac Guerendo,RB,SFO,24.0,135,162.0,27.0,140.2,82.6,57.6,Buy,139.1,14.0,51.0,
Alec Pierce,WR,IND,24.0,136,195.0,59.0,139.4,77.4,62.0,Strong Buy,180.1,14.0,72.0,
Ray-Ray McCloud,WR,ATL,28.0,137,240.0,103.0,138.7,59.4,79.3,Strong Buy,216.8,16.0,87.0,
Rome Odunze,WR,CHI,22.0,138,92.0,-46.0,138.1,124.4,13.7,Fade,91.6,9.0,35.0,
Jaylen Warren,RB,PIT,26.0,139,76.0,-63.0,138.1,125.2,12.9,Strong Fade,98.3,11.0,31.0,
Jake Ferguson,TE,DAL,25.0,140,104.0,-36.0,138.0,82.2,55.8,Fade,135.5,7.0,18.0,
Jerome Ford,RB,CLE,25.0,141,153.0,12.0,137.8,86.2,51.6,Slight Buy,137.1,14.0,48.0,
Andy Dalton,QB,CAR,37.0,142,568.0,426.0,136.9,7.3,129.6,Strong Buy,,27.0,68.0,
Tank Bigsby,RB,JAX,23.0,143,124.0,-19.0,136.6,99.3,37.3,Slight Fade,119.2,13.0,42.0,
Daniel Jones,QB,NYG,27.0,144,533.0,389.0,136.1,86.4,49.7,Strong Buy,181.5,22.0,33.0,
Elijah Moore,WR,CLE,24.0,145,424.0,279.0,132.6,20.6,112.0,Strong Buy,,21.0,143.0,
Will Levis,QB,TEN,25.0,146,,,131.9,,,No Expert Data,,,,
Xavier Legette,WR,CAR,23.0,147,179.0,32.0,129.6,83.8,45.8,Buy,161.0,13.0,63.0,
Marvin Mims*+,WR,DEN,22.0,148,128.0,-20.0,128.8,110.0,18.8,Fade,145.3,11.0,49.0,
Trevor Lawrence,QB,JAX,25.0,149,138.0,-11.0,127.8,248.3,-120.5,Slight Fade,128.5,12.0,19.0,
Romeo Doubs,WR,GNB,24.0,150,180.0,30.0,127.5,83.5,44.0,Buy,166.5,14.0,64.0,
Amari Cooper,WR,2TM,30.0,151,,,125.9,,,No Expert Data,,,,
Derek Carr,QB,NOR,33.0,152,,,125.1,,,No Expert Data,,,,
Michael Wilson,WR,ARI,24.0,153,187.0,34.0,124.2,79.5,44.7,Buy,191.7,14.0,68.0,
Isaiah Likely,TE,BAL,24.0,154,118.0,-36.0,123.5,75.6,47.9,Fade,143.2,9.0,23.0,
Audric Estime,RB,DEN,21.0,155,310.0,155.0,123.5,37.1,86.4,Strong Buy,,18.0,78.0,
Kyle Pitts,TE,ATL,24.0,156,93.0,-63.0,122.4,86.0,36.4,Strong Fade,120.4,6.0,12.0,
Dalton Schultz,TE,HOU,28.0,157,133.0,-24.0,122.0,69.4,52.6,Fade,206.3,9.0,25.0,
Tyler Huntley,QB,MIA,26.0,158,582.0,424.0,121.7,2.2,119.5,Strong Buy,,28.0,82.0,
Kayshon Boutte,WR,NWE,22.0,159,269.0,110.0,121.2,54.5,66.7,Strong Buy,,17.0,93.0,
Juwan Johnson,TE,NOR,28.0,160,134.0,-26.0,119.9,68.1,51.8,Fade,227.8,9.0,26.0,
Tre Tucker,WR,LVR,23.0,161,236.0,75.0,119.7,60.3,59.4,Strong Buy,231.3,16.0,86.0,
Chigoziem Okonkwo,TE,TEN,25.0,162,135.0,-27.0,119.5,68.0,51.5,Fade,189.9,9.0,27.0,
Jameis Winston,QB,CLE,30.0,163,540.0,377.0,119.3,16.4,102.9,Strong Buy,,26.0,40.0,
Jordan Mason,RB,SFO,25.0,164,103.0,-61.0,119.0,109.5,9.5,Strong Fade,108.4,12.0,38.0,
Tyler Conklin,TE,NYJ,29.0,165,170.0,5.0,118.9,50.0,68.9,Consensus,,13.0,35.0,
Braelon Allen,RB,NYJ,20.0,166,190.0,24.0,117.4,66.7,50.7,Buy,163.5,16.0,58.0,
Austin Ekeler,RB,WAS,29.0,167,107.0,-60.0,116.9,108.6,8.3,Strong Fade,132.6,12.0,39.0,
Devaughn Vele,WR,DEN,27.0,168,334.0,166.0,115.9,42.9,73.0,Strong Buy,249.2,18.0,111.0,
Dallas Goedert,TE,PHI,29.0,169,80.0,-89.0,115.3,93.3,22.0,Strong Fade,129.7,6.0,9.0,
Allen Lazard,WR,NYJ,29.0,170,262.0,92.0,114.6,55.2,59.4,Strong Buy,,17.0,91.0,
Cole Kmet,TE,CHI,25.0,171,192.0,21.0,114.4,39.8,74.6,Buy,198.6,14.0,42.0,
Tyler Lockett,WR,SEA,32.0,172,211.0,39.0,113.5,68.2,45.3,Buy,220.0,15.0,76.0,
Cooper Rush,QB,DAL,31.0,173,560.0,387.0,113.4,9.2,104.2,Strong Buy,,27.0,60.0,
Will Dissly,TE,LAC,28.0,174,176.0,2.0,113.0,46.8,66.2,Consensus,,13.0,38.0,
Dak Prescott,QB,DAL,31.0,175,94.0,-81.0,112.5,266.8,-154.3,Strong Fade,86.9,10.0,13.0,
Trey Benson,RB,ARI,21.0,176,145.0,-31.0,112.2,89.9,22.3,Fade,139.1,14.0,45.0,
Jalen McMillan,WR,TAM,23.0,177,191.0,14.0,112.2,77.7,34.5,Slight Buy,170.4,14.0,71.0,
Nick Westbrook-Ikhine,WR,TEN,27.0,178,215.0,37.0,111.9,67.2,44.7,Buy,,15.0,77.0,
Noah Fant,TE,SEA,27.0,179,174.0,-5.0,111.8,47.4,64.4,Consensus,,13.0,36.0,
Keon Coleman,WR,BUF,21.0,180,112.0,-68.0,111.7,117.4,-5.7,Strong Fade,124.1,10.0,42.0,
Austin Hooper,TE,NWE,30.0,181,206.0,25.0,110.5,32.1,78.4,Buy,,15.0,46.0,
Dalton Kincaid,TE,BUF,25.0,182,98.0,-84.0,110.0,83.8,26.2,Strong Fade,136.9,7.0,15.0,
Evan Engram,TE,JAX,30.0,183,97.0,-86.0,109.7,85.1,24.6,Strong Fade,111.4,7.0,14.0,
Demarcus Robinson,WR,LAR,30.0,184,319.0,135.0,109.6,46.7,62.9,Strong Buy,,18.0,107.0,
Olamide Zaccheaus,WR,WAS,27.0,185,460.0,275.0,109.1,14.3,94.8,Strong Buy,,21.0,161.0,
Justice Hill,RB,BAL,27.0,186,204.0,18.0,108.9,60.7,48.2,Slight Buy,188.7,16.0,62.0,
Ameer Abdullah,RB,LVR,31.0,187,339.0,152.0,108.6,31.2,77.4,Strong Buy,,19.0,83.0,
Calvin Austin III,WR,PIT,25.0,188,200.0,12.0,108.5,75.0,33.5,Slight Buy,188.9,15.0,74.0,
Tutu Atwell,WR,LAR,25.0,189,227.0,38.0,108.0,63.8,44.2,Buy,,16.0,82.0,
Dontayvion Wicks,WR,GNB,23.0,190,272.0,82.0,107.2,53.2,54.0,Strong Buy,,17.0,94.0,
Darius Slayton,WR,NYG,27.0,191,207.0,16.0,107.1,69.9,37.2,Slight Buy,223.0,15.0,75.0,
Joe Flacco,QB,IND,39.0,192,532.0,340.0,106.8,104.9,1.9,Strong Buy,184.8,21.0,32.0,
Roschon Johnson,RB,CHI,23.0,193,160.0,-33.0,106.1,82.8,23.3,Fade,161.9,14.0,50.0,
Josh Palmer,WR,LAC,25.0,194,,,105.2,,,No Expert Data,,,,
Andrei Iosivas,WR,CIN,25.0,195,250.0,55.0,105.0,58.0,47.0,Strong Buy,223.8,17.0,90.0,
Antonio Gibson,RB,NWE,26.0,196,296.0,100.0,104.8,39.3,65.5,Strong Buy,192.1,18.0,75.0,
Noah Gray,TE,KAN,25.0,197,178.0,-19.0,104.5,46.2,58.3,Slight Fade,217.7,13.0,39.0,
Chris Brooks,RB,GNB,24.0,198,387.0,189.0,104.2,18.5,85.7,Strong Buy,,20.0,107.0,
Christian Watson,WR,GNB,25.0,199,265.0,66.0,103.8,54.9,48.9,Strong Buy,200.1,17.0,92.0,
Taysom Hill,TE,NOR,34.0,200,183.0,-17.0,102.3,43.5,58.8,Slight Fade,149.9,13.0,40.0,
