Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Unnamed: 17_level_0
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
226.0,Quincy Morgan,25.0,CLE,WR,16.0,16.0,3.0,7.0,0.0,0.0,0.0,11.0,2.3,0.4,0.2,2.0,
227.0,Muhsin Muhammad,29.0,CAR,WR,14.0,14.0,3.0,40.0,0.0,2.0,66.7,20.0,13.3,2.9,0.2,0.0,
228.0,Neil O'Donnell,36.0,TEN,QB,4.0,0.0,3.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,-0.8,0.8,0.0,
229.0,Peerless Price,26.0,BUF,WR,16.0,16.0,3.0,-13.0,0.0,0.0,0.0,1.0,-4.3,-0.8,0.2,2.0,
230.0,Jerry Rice,40.0,OAK,WR,16.0,16.0,3.0,20.0,0.0,1.0,66.7,12.0,6.7,1.3,0.2,1.0,"PB,AP-2"
231.0,Frank Sanders,29.0,ARI,WR,12.0,12.0,3.0,2.0,0.0,0.0,0.0,5.0,0.7,0.2,0.3,0.0,
232.0,Dez White,23.0,CHI,WR,16.0,14.0,3.0,11.0,0.0,1.0,33.3,21.0,3.7,0.7,0.2,1.0,
233.0,Karl Williams,31.0,TAM,WR,16.0,2.0,3.0,-5.0,0.0,0.0,0.0,,-1.7,-0.3,0.2,0.0,
234.0,David Boston,24.0,ARI,WR,8.0,8.0,2.0,29.0,0.0,1.0,100.0,22.0,14.5,3.6,0.3,0.0,
235.0,Corey Bradford,27.0,HOU,WR,16.0,16.0,2.0,-11.0,0.0,0.0,0.0,,-5.5,-0.7,0.1,0.0,
236.0,Deion Branch,23.0,NWE,WR,13.0,7.0,2.0,0.0,0.0,1.0,50.0,,0.0,0.0,0.2,1.0,
237.0,Reche Caldwell,23.0,SDG,WR,16.0,2.0,2.0,9.0,0.0,0.0,0.0,6.0,4.5,0.6,0.1,3.0,
238.0,Rohan Davey,24.0,NWE,QB,2.0,0.0,2.0,-4.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,
239.0,Autry Denson,26.0,IND,RB,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,
240.0,Koy Detmer,29.0,PHI,QB,14.0,1.0,2.0,4.0,1.0,1.0,100.0,3.0,2.0,0.3,0.1,1.0,
241.0,Kevin Dyson,27.0,TEN,WR,11.0,11.0,2.0,-4.0,0.0,0.0,50.0,5.0,-2.0,-0.4,0.2,1.0,
242.0,Jeff Feagles,36.0,SEA,P,16.0,0.0,2.0,-23.0,0.0,0.0,0.0,-8.0,-11.5,-1.4,0.1,1.0,
243.0,Jacquez Green,26.0,2TM,WR,10.0,0.0,2.0,9.0,0.0,0.0,50.0,8.0,4.5,0.9,0.2,1.0,
243.0,Jacquez Green,26.0,WAS,WR,9.0,0.0,2.0,9.0,0.0,0.0,50.0,8.0,4.5,1.0,0.2,1.0,
243.0,Jacquez Green,26.0,DET,WR,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,
244.0,Karl Hankton,32.0,CAR,WR,16.0,1.0,2.0,-4.0,0.0,0.0,0.0,2.0,-2.0,-0.3,0.1,0.0,
245.0,Marvin Harrison,30.0,IND,WR,16.0,16.0,2.0,10.0,0.0,0.0,50.0,8.0,5.0,0.6,0.1,0.0,"PB,AP-1,AP OPoY-2"
246.0,Torry Holt,26.0,STL,WR,16.0,11.0,2.0,18.0,0.0,1.0,50.0,14.0,9.0,1.1,0.1,1.0,
247.0,Delvin Joyce,24.0,NYG,RB,12.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,3.0,
248.0,Ed McCaffrey,34.0,DEN,WR,16.0,16.0,2.0,22.0,0.0,0.0,100.0,17.0,11.0,1.4,0.1,1.0,
249.0,Justin McCareins,24.0,TEN,WR,16.0,1.0,2.0,18.0,0.0,1.0,50.0,16.0,9.0,1.1,0.1,0.0,
250.0,Fred McCrary,30.0,SDG,FB,16.0,16.0,2.0,1.0,0.0,0.0,0.0,2.0,0.5,0.1,0.1,1.0,
251.0,Eric Metcalf,34.0,GNB,KR,1.0,0.0,2.0,7.0,0.0,1.0,50.0,5.0,3.5,7.0,2.0,1.0,
252.0,Sammy Morris,25.0,BUF,RB,16.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,2.5,0.3,0.1,0.0,
253.0,David Patten,28.0,NWE,WR,16.0,14.0,2.0,6.0,0.0,0.0,50.0,7.0,3.0,0.4,0.1,0.0,
254.0,Sage Rosenfels,24.0,MIA,QB,4.0,0.0,2.0,-9.0,0.0,0.0,0.0,-2.0,-4.5,-2.3,0.5,0.0,
255.0,Cory Sauter,28.0,CHI,QB,1.0,0.0,2.0,8.0,0.0,0.0,50.0,7.0,4.0,8.0,2.0,0.0,
256.0,Donte' Stallworth,22.0,NOR,WR,13.0,7.0,2.0,2.0,0.0,0.0,50.0,4.0,1.0,0.2,0.2,0.0,
257.0,Vinny Testaverde,39.0,NYJ,QB,5.0,4.0,2.0,23.0,0.0,0.0,50.0,24.0,11.5,4.6,0.4,2.0,
258.0,Marques Tuiasosopo,23.0,OAK,QB,3.0,0.0,2.0,-3.0,0.0,0.0,0.0,-1.0,-1.5,-1.0,0.7,0.0,
259.0,Troy Walters,26.0,IND,WR,16.0,1.0,2.0,33.0,0.0,2.0,100.0,17.0,16.5,2.1,0.1,7.0,
260.0,Tom Rouen,34.0,2TM,P,10.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2,2.0,
260.0,Tom Rouen,34.0,DEN,P,8.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,
260.0,Tom Rouen,34.0,NYG,P,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,1.0,
261.0,David Akers,28.0,PHI,K,16.0,0.0,1.0,10.0,0.0,1.0,100.0,10.0,10.0,0.6,0.1,0.0,"PB,AP-2"
262.0,Champ Bailey,24.0,WAS,LCB,16.0,16.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.3,0.1,4.0,PB
263.0,Todd Bouman,30.0,MIN,QB,1.0,0.0,1.0,9.0,0.0,1.0,100.0,9.0,9.0,9.0,1.0,2.0,
264.0,Isaac Byrd,28.0,CAR,WR,13.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,
265.0,Kelly Campbell,22.0,MIN,WR,6.0,2.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,1.8,0.2,1.0,
266.0,Todd Collins,31.0,KAN,QB,3.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,7.0,2.3,0.3,0.0,
267.0,Greg Comella,27.0,TEN,FB,12.0,7.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,
268.0,Nick Davis,23.0,MIN,WR,15.0,0.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.7,0.1,4.0,
269.0,Doug Flutie,40.0,SDG,QB,1.0,0.0,1.0,6.0,0.0,0.0,100.0,6.0,6.0,6.0,1.0,0.0,
270.0,Rod Gardner,25.0,WAS,WR,16.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,1.0,
271.0,Jay Graham,27.0,GNB,RB,3.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,0.3,0.0,
272.0,Craig Hentrich,31.0,TEN,P,16.0,0.0,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,0.0,
273.0,Chris Hetherington,30.0,STL,FB,6.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2,0.0,
274.0,Ike Hilliard,26.0,NYG,WR,7.0,7.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,1.0,0.1,0.0,
275.0,Joe Horn,30.0,NOR,WR,16.0,16.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,1.0,PB
276.0,Damon Huard,29.0,NWE,QB,2.0,0.0,1.0,4.0,0.0,1.0,100.0,4.0,4.0,2.0,0.5,0.0,
277.0,Javin Hunter,22.0,BAL,WR,12.0,3.0,1.0,9.0,0.0,0.0,0.0,9.0,9.0,0.8,0.1,2.0,
278.0,John Jett,34.0,DET,P,16.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,
279.0,Bryan Johnson,24.0,WAS,FB,16.0,12.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,
280.0,Patrick Johnson,26.0,JAX,WR,9.0,6.0,1.0,-9.0,0.0,0.0,0.0,-9.0,-9.0,-1.0,0.1,0.0,
281.0,Daryl Jones,23.0,NYG,WR,13.0,6.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.3,0.1,1.0,
282.0,Micah Knorr,27.0,DAL,P,7.0,0.0,1.0,-10.0,0.0,0.0,0.0,-10.0,-10.0,-1.4,0.1,0.0,
283.0,Sean Landeta,40.0,PHI,P,12.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,
284.0,George Layne,24.0,ATL,RB,2.0,0.0,1.0,5.0,0.0,1.0,100.0,5.0,5.0,2.5,0.5,1.0,
285.0,Michael Lewis,31.0,NOR,WR,16.0,0.0,1.0,15.0,0.0,1.0,100.0,15.0,15.0,0.9,0.1,6.0,"PB,AP-1"
286.0,Cecil Martin,27.0,PHI,FB,16.0,9.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,
287.0,Brad Maynard,28.0,CHI,P,16.0,0.0,1.0,20.0,0.0,1.0,100.0,20.0,20.0,1.3,0.1,0.0,
288.0,Fred McAfee,34.0,NOR,RB,11.0,0.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,1.0,0.1,0.0,PB
289.0,Darnerien McCants,26.0,WAS,WR,9.0,1.0,1.0,9.0,0.0,0.0,100.0,9.0,9.0,1.0,0.1,1.0,
290.0,Keenan McCardell,32.0,TAM,WR,14.0,14.0,1.0,3.0,0.0,0.0,100.0,3.0,3.0,0.2,0.1,1.0,
291.0,Josh McCown,23.0,ARI,QB,2.0,0.0,1.0,20.0,0.0,1.0,100.0,20.0,20.0,10.0,0.5,1.0,
292.0,Randy McMichael,23.0,MIA,TE,16.0,16.0,1.0,8.0,0.0,0.0,0.0,8.0,8.0,0.5,0.1,1.0,
293.0,Ahmad Merritt,25.0,CHI,WR,12.0,3.0,1.0,5.0,0.0,0.0,100.0,5.0,5.0,0.4,0.1,3.0,
