Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
58.0,Ricky Williams,26.0,MIA,RB,16.0,16.0,62.0,50.0,351.0,7.0,1.0,12.0,41.9,59.0,3.1,21.9,80.6,5.7,7.0,
59.0,Az-Zahir Hakim,26.0,DET,WR,14.0,12.0,108.0,49.0,449.0,9.2,4.0,27.0,37.0,28.0,3.5,32.1,45.4,4.2,2.0,
60.0,Randy McMichael,24.0,MIA,TE,16.0,16.0,83.0,49.0,598.0,12.2,2.0,29.0,45.8,46.0,3.1,37.4,59.0,7.2,0.0,
61.0,James Thrash,28.0,PHI,WR,16.0,16.0,92.0,49.0,558.0,11.4,1.0,24.0,43.5,51.0,3.1,34.9,53.3,6.1,0.0,
62.0,Dez White,24.0,CHI,WR,15.0,11.0,107.0,49.0,583.0,11.9,3.0,31.0,40.2,49.0,3.3,38.9,45.8,5.4,0.0,
63.0,Kevin Faulk,27.0,NWE,RB,15.0,8.0,67.0,48.0,440.0,9.2,0.0,20.0,53.7,27.0,3.2,29.3,71.6,6.6,4.0,
64.0,Charlie Garner,31.0,OAK,RB,14.0,9.0,70.0,48.0,386.0,8.0,1.0,15.0,34.3,46.0,3.4,27.6,68.6,5.5,1.0,
65.0,Jeremy Shockey,23.0,NYG,TE,9.0,9.0,70.0,48.0,535.0,11.1,2.0,28.0,61.4,46.0,5.3,59.4,68.6,7.6,1.0,PB
66.0,Fred Taylor,27.0,JAX,RB,16.0,16.0,74.0,48.0,370.0,7.7,1.0,16.0,44.6,60.0,3.0,23.1,64.9,5.0,6.0,
67.0,Dane Looker,27.0,STL,WR,16.0,2.0,75.0,47.0,495.0,10.5,3.0,27.0,48.0,41.0,2.9,30.9,62.7,6.6,1.0,
68.0,Justin McCareins,25.0,TEN,WR,16.0,10.0,82.0,47.0,813.0,17.3,7.0,40.0,56.1,73.0,2.9,50.8,57.3,9.9,2.0,
69.0,Jerald Sowell,29.0,NYJ,FB,16.0,16.0,60.0,47.0,436.0,9.3,1.0,27.0,58.3,44.0,2.9,27.3,78.3,7.3,0.0,
70.0,Tai Streets,26.0,SFO,WR,16.0,16.0,85.0,47.0,595.0,12.7,7.0,30.0,48.2,41.0,2.9,37.2,55.3,7.0,0.0,
71.0,Domanick Williams,23.0,HOU,RB,14.0,10.0,68.0,47.0,351.0,7.5,0.0,15.0,45.6,17.0,3.4,25.1,69.1,5.2,4.0,
72.0,Curtis Conway,32.0,NYJ,WR,16.0,15.0,102.0,46.0,640.0,13.9,2.0,33.0,36.3,45.0,2.9,40.0,45.1,6.3,0.0,
73.0,Jim Kleinsasser,26.0,MIN,TE,16.0,16.0,59.0,46.0,401.0,8.7,4.0,23.0,66.1,19.0,2.9,25.1,78.0,6.8,0.0,
74.0,Itula Mili,30.0,SEA,TE,16.0,12.0,62.0,46.0,492.0,10.7,4.0,28.0,64.5,46.0,2.9,30.8,74.2,7.9,0.0,
75.0,Jamel White,26.0,CLE,RB,16.0,3.0,69.0,46.0,303.0,6.6,1.0,14.0,31.9,22.0,2.9,18.9,66.7,4.4,1.0,
76.0,Marshall Faulk,30.0,STL,RB,11.0,11.0,61.0,45.0,290.0,6.4,1.0,11.0,36.1,30.0,4.1,26.4,73.8,4.8,0.0,AP CPoY-11
77.0,Keyshawn Johnson,31.0,TAM,WR,10.0,10.0,74.0,45.0,600.0,13.3,3.0,34.0,58.1,39.0,4.5,60.0,60.8,8.1,0.0,
78.0,Desmond Clark,26.0,CHI,TE,15.0,15.0,71.0,44.0,433.0,9.8,2.0,23.0,47.9,31.0,2.9,28.9,62.0,6.1,2.0,
79.0,Alge Crumpler,26.0,ATL,TE,16.0,16.0,80.0,44.0,552.0,12.5,3.0,27.0,45.0,63.0,2.8,34.5,55.0,6.9,1.0,PB
80.0,Jerome Pathon,28.0,NOR,WR,16.0,12.0,80.0,44.0,578.0,13.1,4.0,27.0,46.3,40.0,2.8,36.1,55.0,7.2,1.0,
81.0,David Terrell,24.0,CHI,WR,16.0,7.0,84.0,43.0,361.0,8.4,1.0,19.0,39.3,35.0,2.7,22.6,51.2,4.3,1.0,
82.0,Shaun Alexander,26.0,SEA,RB,16.0,15.0,59.0,42.0,295.0,7.0,2.0,17.0,45.8,22.0,2.6,18.4,71.2,5.0,4.0,PB
83.0,Curtis Martin,30.0,NYJ,RB,16.0,16.0,53.0,42.0,262.0,6.2,0.0,9.0,35.8,29.0,2.6,16.4,79.2,4.9,2.0,
84.0,Erron Kinney,26.0,TEN,TE,16.0,16.0,58.0,41.0,381.0,9.3,3.0,23.0,56.9,28.0,2.6,23.8,70.7,6.6,1.0,
85.0,Javon Walker,25.0,GNB,WR,16.0,3.0,74.0,41.0,716.0,17.5,9.0,27.0,51.4,66.0,2.6,44.8,55.4,9.7,1.0,
86.0,Boo Williams,24.0,NOR,TE,16.0,6.0,62.0,41.0,436.0,10.6,5.0,25.0,56.5,31.0,2.6,27.3,66.1,7.0,0.0,
87.0,Anthony Becht,26.0,NYJ,TE,16.0,16.0,58.0,40.0,356.0,8.9,4.0,26.0,53.4,29.0,2.5,22.3,69.0,6.1,1.0,
88.0,Troy Brown,32.0,NWE,WR,12.0,10.0,60.0,40.0,472.0,11.8,4.0,18.0,53.3,82.0,3.3,39.3,66.7,7.9,2.0,
89.0,Andre' Davis,24.0,CLE,WR,16.0,8.0,62.0,40.0,576.0,14.4,5.0,28.0,51.6,49.0,2.5,36.0,64.5,9.3,2.0,
90.0,Dante Hall,25.0,KAN,WR,16.0,2.0,60.0,40.0,423.0,10.6,1.0,17.0,38.3,67.0,2.5,26.4,66.7,7.1,3.0,"PB,AP-1"
91.0,Billy Miller,26.0,HOU,TE,16.0,6.0,65.0,40.0,355.0,8.9,3.0,18.0,44.6,25.0,2.5,22.2,61.5,5.5,0.0,
92.0,Marcus Pollard,31.0,IND,TE,14.0,13.0,57.0,40.0,541.0,13.5,3.0,25.0,63.2,70.0,2.9,38.6,70.2,9.5,1.0,
93.0,Amos Zereoue,27.0,PIT,RB,16.0,6.0,52.0,40.0,310.0,7.8,0.0,12.0,44.2,29.0,2.5,19.4,76.9,6.0,0.0,
94.0,Antonio Bryant,22.0,DAL,WR,16.0,5.0,83.0,39.0,550.0,14.1,2.0,27.0,39.8,54.0,2.4,34.4,47.0,6.6,0.0,
95.0,Travis Taylor,25.0,BAL,WR,16.0,16.0,90.0,39.0,632.0,16.2,3.0,23.0,35.6,73.0,2.4,39.5,43.3,7.0,0.0,
96.0,Robert Ferguson,24.0,GNB,WR,15.0,12.0,60.0,38.0,520.0,13.7,4.0,25.0,53.3,47.0,2.5,34.7,63.3,8.7,0.0,
97.0,Daniel Graham,25.0,NWE,TE,14.0,9.0,63.0,38.0,409.0,10.8,4.0,21.0,39.7,38.0,2.7,29.2,60.3,6.5,0.0,
98.0,Quincy Morgan,26.0,CLE,WR,16.0,15.0,79.0,38.0,516.0,13.6,3.0,22.0,36.7,71.0,2.4,32.3,48.1,6.5,0.0,
99.0,Clinton Portis,22.0,DEN,RB,13.0,13.0,51.0,38.0,314.0,8.3,0.0,10.0,37.3,72.0,2.9,24.2,74.5,6.2,3.0,PB
100.0,Warrick Dunn,28.0,ATL,RB,11.0,6.0,52.0,37.0,336.0,9.1,2.0,14.0,36.5,86.0,3.4,30.5,71.2,6.5,2.0,
101.0,Ashley Lelie,23.0,DEN,WR,16.0,10.0,81.0,37.0,628.0,17.0,2.0,25.0,43.2,60.0,2.3,39.3,45.7,7.8,0.0,
102.0,Antwaan Randle El,24.0,PIT,WR,16.0,1.0,56.0,37.0,364.0,9.8,1.0,21.0,48.2,32.0,2.3,22.8,66.1,6.5,5.0,
103.0,Mikhael Ricks,29.0,DET,TE,16.0,6.0,61.0,37.0,434.0,11.7,2.0,24.0,45.9,38.0,2.3,27.1,60.7,7.1,0.0,
104.0,Brian Westbrook,24.0,PHI,RB,15.0,8.0,48.0,37.0,332.0,9.0,4.0,17.0,45.8,38.0,2.5,22.1,77.1,6.9,3.0,
105.0,Todd Pinkston,26.0,PHI,WR,16.0,15.0,86.0,36.0,575.0,16.0,2.0,22.0,32.6,59.0,2.3,35.9,41.9,6.7,1.0,
106.0,Bill Schroeder,32.0,DET,WR,16.0,13.0,80.0,36.0,397.0,11.0,2.0,24.0,36.3,26.0,2.3,24.8,45.0,5.0,0.0,
107.0,Duce Staley,28.0,PHI,RB,16.0,4.0,47.0,36.0,382.0,10.6,2.0,19.0,51.1,52.0,2.3,23.9,76.6,8.1,2.0,
108.0,Troy Walters,27.0,IND,WR,15.0,4.0,52.0,36.0,456.0,12.7,3.0,25.0,61.5,46.0,2.4,30.4,69.2,8.8,0.0,
109.0,Kevan Barlow,24.0,SFO,RB,16.0,4.0,44.0,35.0,307.0,8.8,1.0,14.0,47.7,48.0,2.2,19.2,79.5,7.0,5.0,
110.0,Troy Edwards,26.0,JAX,WR,13.0,11.0,62.0,35.0,487.0,13.9,3.0,22.0,46.8,84.0,2.7,37.5,56.5,7.9,0.0,
111.0,Bryant Johnson,22.0,ARI,WR,15.0,8.0,77.0,35.0,438.0,12.5,1.0,20.0,37.7,54.0,2.3,29.2,45.5,5.7,1.0,
112.0,Freddie Mitchell,25.0,PHI,WR,16.0,6.0,59.0,35.0,498.0,14.2,2.0,23.0,49.2,39.0,2.2,31.1,59.3,8.4,0.0,
113.0,Jed Weaver,27.0,SFO,TE,16.0,15.0,53.0,35.0,437.0,12.5,1.0,20.0,54.7,30.0,2.2,27.3,66.0,8.2,1.0,
114.0,Cedrick Wilson,25.0,SFO,WR,16.0,4.0,63.0,35.0,396.0,11.3,2.0,23.0,49.2,29.0,2.2,24.8,55.6,6.3,1.0,
115.0,Jason Witten,21.0,DAL,TE,15.0,7.0,54.0,35.0,347.0,9.9,1.0,18.0,50.0,36.0,2.3,23.1,64.8,6.4,0.0,
116.0,Mark Campbell,28.0,BUF,TE,16.0,11.0,50.0,34.0,339.0,10.0,1.0,11.0,54.0,31.0,2.1,21.2,68.0,6.8,0.0,
